on 0: Entering translator loop...
on 83: {'channel': 220, 'bx': 1005, 'tdc': 14, 'link': 11}
on 84: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 9}
on 85: {'channel': 220, 'bx': 1005, 'tdc': 14, 'link': 9}
on 86: {'channel': 220, 'bx': 1005, 'tdc': 14, 'link': 10}
on 87: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 10}
on 88: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 10}
on 89: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 10}
on 90: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 10}
on 91: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 10}
on 92: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 10}
on 93: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 10}
on 94: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 10}
on 95: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 10}
on 96: {'channel': 211, 'bx': 1005, 'tdc': 17, 'link': 10}
on 97: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 10}
on 98: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 10}
on 99: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 10}
on 100: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 10}
on 101: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 10}
on 102: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 11}
on 103: {'channel': 224, 'bx': 1005, 'tdc': 12, 'link': 11}
on 104: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 11}
on 105: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 11}
on 106: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 11}
on 107: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 11}
on 108: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 11}
on 109: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 11}
on 110: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 11}
on 111: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 11}
on 112: {'channel': 211, 'bx': 1005, 'tdc': 17, 'link': 11}
on 113: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 11}
on 114: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 11}
on 115: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 11}
on 116: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 11}
on 117: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 11}
on 118: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 9}
on 119: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 9}
on 120: {'channel': 227, 'bx': 1005, 'tdc': 16, 'link': 9}
on 121: {'channel': 107, 'bx': 1005, 'tdc': 16, 'link': 9}
on 122: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 9}
on 123: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 9}
on 124: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 9}
on 125: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 9}
on 126: {'channel': 211, 'bx': 1005, 'tdc': 17, 'link': 9}
on 127: {'channel': 119, 'bx': 1005, 'tdc': 15, 'link': 9}
on 128: {'channel': 215, 'bx': 1005, 'tdc': 14, 'link': 9}
on 129: {'channel': 83, 'bx': 1005, 'tdc': 12, 'link': 9}
on 130: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 9}
on 131: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 9}
on 132: {'channel': 220, 'bx': 1005, 'tdc': 15, 'link': 9}
on 133: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 9}
on 134: {'channel': 220, 'bx': 1005, 'tdc': 15, 'link': 10}
on 135: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 10}
on 136: {'channel': 220, 'bx': 1005, 'tdc': 15, 'link': 11}
on 137: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 11}
on 138: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 11}
on 139: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 11}
on 140: {'channel': 211, 'bx': 1005, 'tdc': 17, 'link': 11}
on 141: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 11}
on 142: {'channel': 215, 'bx': 1005, 'tdc': 15, 'link': 11}
on 143: {'channel': 95, 'bx': 1005, 'tdc': 10, 'link': 11}
on 144: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 11}
on 145: {'channel': 99, 'bx': 1005, 'tdc': 13, 'link': 11}
on 146: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 11}
on 147: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 11}
on 148: {'channel': 227, 'bx': 1005, 'tdc': 17, 'link': 11}
on 149: {'channel': 107, 'bx': 1005, 'tdc': 17, 'link': 11}
on 150: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 11}
on 151: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 11}
on 152: {'channel': 224, 'bx': 1005, 'tdc': 12, 'link': 9}
on 153: {'channel': 95, 'bx': 1005, 'tdc': 10, 'link': 9}
on 154: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 9}
on 155: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 9}
on 156: {'channel': 211, 'bx': 1005, 'tdc': 17, 'link': 9}
on 157: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 9}
on 158: {'channel': 215, 'bx': 1005, 'tdc': 15, 'link': 9}
on 159: {'channel': 95, 'bx': 1005, 'tdc': 10, 'link': 9}
on 160: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 9}
on 161: {'channel': 99, 'bx': 1005, 'tdc': 13, 'link': 9}
on 162: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 9}
on 163: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 9}
on 164: {'channel': 227, 'bx': 1005, 'tdc': 17, 'link': 9}
on 165: {'channel': 107, 'bx': 1005, 'tdc': 17, 'link': 9}
on 166: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 9}
on 167: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 9}
on 168: {'channel': 207, 'bx': 1005, 'tdc': 11, 'link': 10}
on 169: {'channel': 87, 'bx': 1005, 'tdc': 12, 'link': 10}
on 170: {'channel': 211, 'bx': 1005, 'tdc': 17, 'link': 10}
on 171: {'channel': 91, 'bx': 1005, 'tdc': 11, 'link': 10}
on 172: {'channel': 215, 'bx': 1005, 'tdc': 15, 'link': 10}
on 173: {'channel': 95, 'bx': 1005, 'tdc': 10, 'link': 10}
on 174: {'channel': 219, 'bx': 1005, 'tdc': 11, 'link': 10}
on 175: {'channel': 99, 'bx': 1005, 'tdc': 13, 'link': 10}
on 176: {'channel': 223, 'bx': 1005, 'tdc': 16, 'link': 10}
on 177: {'channel': 103, 'bx': 1005, 'tdc': 14, 'link': 10}
on 178: {'channel': 227, 'bx': 1005, 'tdc': 17, 'link': 10}
on 179: {'channel': 107, 'bx': 1005, 'tdc': 17, 'link': 10}
on 180: {'channel': 203, 'bx': 1005, 'tdc': 15, 'link': 10}
on 181: {'channel': 111, 'bx': 1005, 'tdc': 15, 'link': 10}
on 182: {'channel': 204, 'bx': 1005, 'tdc': 10, 'link': 10}
on 183: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 10}
on 184: {'channel': 204, 'bx': 1005, 'tdc': 10, 'link': 11}
on 185: {'channel': 115, 'bx': 1005, 'tdc': 13, 'link': 11}
on 186: {'channel': 21, 'bx': 1005, 'tdc': 16, 'link': 11}
on 187: {'channel': 145, 'bx': 1005, 'tdc': 11, 'link': 11}
on 188: {'channel': 65, 'bx': 1005, 'tdc': 17, 'link': 11}
on 189: {'channel': 166, 'bx': 1005, 'tdc': 12, 'link': 11}
on 190: {'channel': 110, 'bx': 1005, 'tdc': 14, 'link': 11}
on 191: {'channel': 34, 'bx': 1005, 'tdc': 16, 'link': 11}
on 192: {'channel': 158, 'bx': 1005, 'tdc': 10, 'link': 11}
